CMP_name,Food_name,SMILES,FDB_ID,CID,Pred_medicinal
,Cereals_and_bakery_products,CCCCCCCCCCCCCCCC(=O)CCCCCC(O)CCCCCCCCC,FDB010639,22561416,0.0
,Crustaceans,C[As+](C)(C)CCO,FDB010640,104820,0.0
,Crustaceans,C[As+](C)(C)CC(O)C([O-])=O,FDB010641,12761633,0.0
,Other_fruits,CC1=C(C)C(=O)OC(C1)C1(C)OC23CCC1(O)C2(C)CCC1C3CC=C2C=CCC(=O)C12C,FDB010642,73699089,0.0
,Other_green_vegetables,C[As](C)(=O)CC1OC(OCC(O)COS(O)=O)C(O)C1O,FDB010643,131751282,0.0
,Meats,NC(CCCC=O)C(O)=O,FDB010644,207,0.0
,Herbs_condiments_and_spices,CS\\C=C/CCCC1=CC=CC=C1,FDB010645,131751283,0.0
,Edible_fats_and_oils,CC(O)\\C=C\\C12OC1(C)CC(=O)CC2(C)C,FDB010646,9920924,0.0
,Fungi,CC(C)C(C)\\C=C\\C(C)C1CCC2(O)C3=CC(=O)C4(O)CC(O)CCC4(C)C3(O)CCC12C,FDB010647,131751284,0.0
,Fish,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1,FDB001065,16078,0.0
,Fungi,CC(C)C(C)\\C=C\\C(C)C1CCC2(O)C3=C(CCC12C)C1(C)CCC(O)CC11OC1C3O,FDB010648,131751285,0.0
,Alliums,CC1C2C(CC3C4CC(=O)C5CC(CCC5(C)C4CCC23C)OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O)OC11CC(OC2OC(CO)C(O)C(O)C2O)C(C)CO1,FDB010649,73795895,0.0
,Other_fruits,CCCCCCCCCCC(O)C1CCC(O1)C1CCC(O1)C(O)CCCCCCCCC(O)CCCC1=CC(C)OC1=O,FDB010650,131751286,0.0
,Tea,CC(=C)\\C=C\\CC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,FDB010651,131751287,0.0
Barpisoflavone_A,Scarlet_Runner_Bean,COC1=C2C(=O)C(=COC2=CC(O)=C1)C1=C(O)C=C(O)C=C1,FDB010652,9944143,0.0
CAJANIN,Pigeonpea,COC1=CC(O)=C2C(=O)C(=COC2=C1)C1=C(O)C=C(O)C=C1,FDB010653,5281706,0.0
,Other_green_vegetables,CC(=O)OC1CCC(=C)C2CC3=C(CC12C)OC=C3C,FDB010654,131751288,0.0
,Edible_fats_and_oils,CC(C)C(=O)OCC1(CO1)C1=C(OC(=O)C(C)C)C=C(C)C=C1,FDB010655,11472669,0.0
,Edible_fats_and_oils,CCC(C)C(=O)OCC1(CO1)C1=C(OC(=O)C(C)C)C=C(C)C=C1,FDB010656,354159,0.0
,Edible_fats_and_oils,CC(C)CC(=O)OCC1(CO1)C1=C(OC(=O)C(C)C)C=C(C)C=C1,FDB010657,13819150,0.0
NONANOIC-ACID-VANILLYLAMIDE,Green_Bell_Pepper,CCCCCCCCC(=O)NCC1=CC=C(O)C(OC)=C1,FDB001066,2998,0.0
,Cocoa,CC1NC(=O)C2CCCN2C1=O,FDB010658,6428987,0.0
,Herbs_condiments_and_spices,CC(C)OC1OC(CO)C(O)C(O)C1O,FDB010666,15613266,0.0
,Citrus_fruits,C\\C(CCC1=C(C)CCCC1(C)C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\\C)CCC1=C(C)CCCC1(C)C,FDB001067,16061254,0.0
,Other_beverages,CCCCCC\\C=C\\CC=C,FDB010673,5358328,0.0
,Tea,OC1=CC=C(C=C1)C1=CC(O)=CC(O)=C1,FDB010674,21909602,0.0
,Other_fruits,CCCCCCCCCCCCCCC(O)C1CCC(O1)C(O)CCCCCCCCCCCCC1=CC(C)OC1=O,FDB010675,14759336,0.0
Lepidine_B,Garden_Cress,OC1=CC=CC(CC2=NC=CN2)=C1OC1=CC=CC(CC2=NC=CN2)=C1,FDB010676,100927764,0.0
Lepidine_D,Garden_Cress,OC1=CC=C(OC2=CC=CC(CC3=NC=CN3)=C2)C(CC2=NC=CN2)=C1,FDB010677,100927766,0.0
,Citrus_fruits,CC(=C)[C@@H]1CC=C(C)[C@H](C1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,FDB001068,10710378,0.0
Lepidine_C,Garden_Cress,COC1=CC=C(OC2=CC=CC(CC3=NC=CN3)=C2)C(CC2=NC=CN2)=C1,FDB010678,100927765,0.0
DIHYDROPIPERCIDE,Black_Pepper,CC(C)CNC(=O)\\C=C\\C=C\\CCCCCCC1=CC2=C(OCO2)C=C1,FDB010679,10893678,0.0
,Nuts,OC1C(OC(=O)C2=CC(O)=C(O)C(O)=C2)OC2COC(=O)C3=C(C(O)=C(O)C(OC4=C(C=C(O)C(O)=C4O)C(=O)OC4OC5COC(=O)C6=CC(O)=C(O)C(O)=C6C6=C(C=C(O)C(O)=C6O)C(=O)OC5C(OC(=O)C5=CC(O)=C(O)C(O)=C5)C4OC(=O)C4=CC(O)=C(O)C(O)=C4)=C3)C3=C(C=C(O)C(O)=C3O)C(=O)OC2C1O,FDB010681,131751290,0.0
,Citrus_fruits,CC(=C)[C@H]1CC=C(C)[C@@H](C1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,FDB001069,101686917,0.0
,Tea,COC1=CC=C(O)C2=CC=CC=C12,FDB010688,66542,0.0
,Herbs_condiments_and_spices,COC1=CC(CC2COC(=O)C2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC,FDB010689,9981005,0.0
,Other_fruits,COC1=C(CC=C(C)C)C2=C(C(O)=C1CC=C(C)C)C(=O)C1=C(O2)C(O)=C(O)C=C1,FDB010690,10787706,0.0
,Other_fruits,COC1=C(O)C=CC(CC2COCC2CC2=CC(OC)=C(OC(=O)\\C=C\\C3=CC(OC)=C(O)C=C3)C=C2)=C1,FDB010691,131751291,0.0
,Edible_fats_and_oils,C\\C=C(/C)C(=O)OC1CC(C)(O)\\C=C/C(=O)/C(CO)=C\\C2OC(=O)C(=C)C12,FDB010692,131751292,0.0
4-DIMETHOXY-3,Black_Pepper,COC1=C(OC)C=C(CC2C(CC3=CC=C4OCOC4=C3)COC2O)C=C1,FDB010694,14189058,0.0
,Herbs_condiments_and_spices,COC1=CC=C(CC2COC(O)C2CC2=CC=C3OCOC3=C2)C=C1OC,FDB010695,14137606,0.0
,Other_fruits,CCCCC\\C=C/C\\C=C/CCCCCCCC(=O)CC(CO)OC(C)=O,FDB010696,44584048,0.0
,Other_fruits,COC1=C(O)C=C2OC3=CC(O)=CC(O)=C3C(=O)C2=C1CC=C(C)C,FDB010698,10405091,0.0
